Angel Stadium of Anaheim,"",Los Angeles Angels,"",2000,"","","",33.8002902,-117.8827493,""
Globe Life Park,"",Texas Rangers,"","","","","",32.7512435,-97.0825093,""
Turner Field,"",Atlanta Braves,"",755,"","","",33.7361249,-84.389355,""
Oriole Park at Camden Yards,"",Baltimore Orioles,"",333,"","","",39.2839198,-76.6222847,""
Fenway Park,"",Boston Red Sox,"",4,"","","",42.34584359999999,-71.09878189999999,""
Wrigley Field,"",Chicago Cubs,"",1060,"","","",41.9474536,-87.6561341,""
U.S. Cellular Field,"",Chicago White Sox,"",333,"","","",41.8300088,-87.63377349999999,""
Great American Ballpark,"",Cincinnati Reds,"",Joe Nuxhall Way,"","","",39.0974324,-84.50869159999999,""
Progressive Field,"",Cleveland Indians,"",2401,"","","",41.4957048,-81.6852732,""
Coors Field,"",Colorado Rockies,"",2001,"","","",39.7559779,-104.9933491,""
Comerica Park,"",Detroit Tigers,"",2100,"","","",42.339293,-83.04887289999999,""
Minute Maid Park,"",Houston Astros,"",501,"","","",29.7572103,-95.35536909999999,""
Kauffman Stadium,"",Kansas City Royals,"",1,"","","",39.0513516,-94.4806696,""
Dodger Stadium,"",Los Angeles Dodgers,"",1000,"","","",34.073873,-118.2407774,""
Marlins Park,"",Miami Marlins,"",501,"","","",25.778104,-80.21977009999999,""
Miller Park,"",Milwaukee Brewers,"",1,"","","",43.028078,-87.9712117,""
Target Field,"",Minnesota Twins,"",Twins Way,"","","",44.9793305,-93.2805701,""
Citi Field,"",New York Mets,"",123-01,"","","",40.7570176,-73.8458741,""
Yankee Stadium II,"",New York Yankees,"",1,"","","",40.8288189,-73.9265691,""
Oakland-Alameda County Coliseum,"",Oakland Athletics,"",7000,"","","",37.750277,-122.2028616,""
Citizens Bank Park,"",Philadelphia Phillies,"",1,"","","",39.9059929,-75.1666401,""
Chase Field,"",Arizona Diamondbacks,"",401,"","","",33.4453626,-112.0674961,""
PNC Park,"",Pittsburgh Pirates,"",115,"","","",40.4471507,-80.0064087,""
Petco Park,"",San Diego Padres,"",100,"","","",32.7072046,-117.155795,""
Safeco Field,"",Seattle Mariners,"",1250,"","","",47.5913426,-122.3320069,""
AT&T Park,"","","","","","","",47.516231,14.550072,""
Busch Stadium III,"","","",700,"","","",38.6226441,-90.1928125,""
Tropicana Field,"",Tampa Bay Rays,"",1,"","","",27.768188,-82.653408,""
Rogers Centre,"",Toronto Blue Jays,"",1,"","","",43.6417388,-79.3892547,""
Nationals Park,"",Washington Nationals,"",1500,"","","",38.8728795,-77.00744449999999,""
